Factory_ID,English_Name,Italian_Name,Factory_Description,Opening_Year,Closing_Year,O_Date_Source,C_Date_Source,Closing_Reason,C_Reason_Source,Cover_Image_ArcGIS_URL
14,Herion,Ditta Hérion,"Knitwear factory that is currently the location of SerenDPT, a startup incubator.",1886.0,1985.0,"Lando, 2023, p. 47, Signori, si chiude, (398)","Lando, 2023, p. 47, Signori, si chiude, (398)",Large fire,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/9bf776438c634f65ae62e6998fca4c9e/data
15,Lucchese,Ditta Lucchese,"Founded by Giovanni Lucchese, was originally Costruzioni Navali e Meccaniche located in the Castello district, found new headquarters on the Giudecca, he was able to make a name for himself  in naval carpentry work by also building boats of considerable size, in relation to the lagoon reality. Giudecca shipyard, responsible for building boats of different sizes for the lagoon.",1926.0,1989.0,"Lando, 2023, p. 30, 1918-1940: anche alla Giudecca cambia tutto (229)","Lando, 2023, p. 46, Signori, si chiude, (393)","Liquidation, lack of orders as a result of demilitairzation in Venice","Lando, 2023, Signori, si chiude, p. 46 (393), p. 39 I primi anni del dopoguerra: ancora battaglie (313)",https://serendpt.maps.arcgis.com/sharing/rest/content/items/a0e1b16a05cb47bbbddc97e06914c318/data
16,Toffolo Shipyard,Cantiere Navale Toffolo,"Giudecca shipyard responsible for rearmament works, building dredgers, tugboats, and barges. The shipyard was founded way back in 1910 as ""Officine Meccaniche Navali G. Toffolo"", transformed into ""Cantiere Navale G. Toffolo SpA"" in the early sixties, with around 120 employees, it built ships of different types: tankers, ferries, chemical tankers, freight transport , transport of people, public transport. In 1991, change to 'Gruppo Faldis sas', where they expanded the maintenance service to include pleasure boats, an increasingly expanding sector",1910.0,9999.0,https://toffolofficine.com/,https://toffolofficine.com/,,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/76d46980cce341339ef95a656ae44fce/data
17,Inio,Ditta Inio,"Originally called Sola Francesco, it arrived at Giudecca in 1846 from Cannaregi to produce natural fiber ropes, copper and iron cables, in 1894 it took the name Inio",1846.0,1989.0,"Lando, 2023, p. 15, La Giudecca vecchia: il battito dell’orologio nell’antico cuore dell’isola
(105)","Lando, 2023, p.15, La Giudecca vecchia: il battito dell’orologio nell’antico cuore dell’isola
(105)",,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/57dad79f86cd40389724d0aebc56a85d/data
18,Bussolin,Ditta Bussolin,"Founded in 1878 by Bussolin; produced carpet from coconut and  manila ropes: it was one of the companies victimized by the consequences of Caporetto but was reborn on the island with another name, Cossulich and C. In 1922, it the building was sold to Casimiro Gaggio, who renovated and enlarged the space.",1878.0,1915.0,"Lando, 2023, p. 15, La Giudecca vecchia: il battito dell’orologio nell’antico cuore dell’isola, (108)","Lando, 2023, p. 31, 1918-1940: anche alla Giudecca cambia tutto, (239)",WWI,"Lando, 2023, p. 24, 1915: un’altra Giudecca ,(193)",
19,Junghans,Ditta Junghans,"When it first opened, it went by the name Hérion Brothers. In 1899, Arturo Junghans became more involved in the company, so the name was changed to Fabbriche Riunite di Orologerie Junghans, Hérion & Thomas Haller (119).  In 1903, Giovanni Hérion left the company and it contiuned to operate under Arturo Junghans. One of the two main industrial factories active from 1940-45. Junghans attempted to have a completely Venetian workforce (majority from Giudecca) with a close community; the company had a basketball team that dominated minor league tournaments in the 1950s, (Lando, 2023, 70). 1914-1922 Junghans was seized by the government during WWII. After the war, Junghans reopened under Ottone Hauff.",1878.0,1993.0,"Lando, 2023, p. 16","Lando, 2023, p. 16",Closed due to cost of housing. People could not afford to live and work. Every house was being rented out to tourists.,"Pietro Lando. Interview, 2024.",https://serendpt.maps.arcgis.com/sharing/rest/content/items/7f2a37a1a75a447f90e039b4437f82f7/data
24,Narduzzi,Ditta V. Narduzzi,"Formerly known as Tolotti-Monferrà, Brick and Lime Factory, the main oven was designed by the owner's brother, the engineer Ambrogio and designed it like the medieval Nordic architectural motifs typical of the Stucky mill (132). After the war, the production of bricks was moved  to Mira, to another kiln in Narduzzi, while the production of lime remained in Venice, used, among  other things. In 1929 for the new red clay tennis courts of the Hotel Excelsior . From 1930 there was no further news of the factory and the area was completely transformed (134)(135)",1915.0,1930.0,"Lando, 2023, p. 17, La Giudecca vecchia: il battito dell’orologio nell’antico cuore dell’isola (131)","Lando, 2023, p. 17, La Giudecca vecchia: il battito dell’orologio nell’antico cuore dell’isola, (134)(135)",,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/4c46b4649f014970afc9da90f432f339/data
25,Omassini and Pascon,Ditta Omassini e Pascon,Established in 1922 in the premises of a small metal parts factory of the G. Zanchi e C company.,1922.0,1980.0,"Stampa: Tipografia Commerciale/Venezia, 1981",,,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/79d5d80c829a48d2a335c90ed1c7967b/data
26,,,Used as a kiln to make bricks,1808.0,1890.0,,,,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/e75fbd2092d24cf1addb9d388bb28c84/data
27,Cnomv,Cnomv,"Complex of several buildings and slipways built in 1906, One of the two particularly active industrial companies suring 1940-45
Constructed and maintained boats (page 64)
26 April 1945 fight for liberation occurred, where german soldiers (25) and fascists (7) were captured",1906.0,1984.0,"Stampa: Tipografia Commerciale/Venezia, 1981","Lando, 2023, p. 53",,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/1babeeca1389424d85fa76ec63ce1b7d/data
28,Gianolla Company,DItta Gianolla,Founded in 1930 on an area already used as a bead factory (1860) famous for Elixir di china.,1936.0,1969.0,"Lando, 2023, p. 31","Lando, 2023, p. 47",,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/5cd2a794b62049dc8e5f86c3560d4038/data
29,,,Grain storage Redeemer built in 1846.,1846.0,1878.0,"Stampa: Tipografia Commerciale/Venezia, 1981","Stampa: Tipografia Commerciale/Venezia, 1981",,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/02284bfaa3d94249a8835207ae119dd8/data
30,Cucco,Ditta Cucco,In business since the early 1900s it employs around 6 people,,,,,,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/403e059abdfe44b4a142023f022692b3/data
31,Pianaro,Ditta Pianaro,"Founded in 1924, it was previously used as a rag factory and later as a liquor factory.",1924.0,,"Stampa: Tipografia Commerciale/Venezia, 1981",,,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/550468f2374e47a7a84dd5f43c11adf0/data
32,Fabbrica di Colori,Fabbrica di Colori,In business as of 1981.,,,,,,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/56bdd80ffb9841f59ad7fa2b96221fc4/data
33,Tobacco Factory,Monopolio Tabacchi,"Multi-storey building used as a tobacco warehouse since 1846, repurposed for the State Archives.",1846.0,1965.0,"Stampa: Tipografia Commerciale/Venezia, 1981",Topographical plan of giudecca,,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/0a3c8fe2a7144beeb97b7bcadc047835/data
34,Brazzoduro,,Multi-storey building used as grain wearhouse since 1846. Used as a youth hostel in the starting in 1958,1846.0,1958.0,"Stampa: Tipografia Commerciale/Venezia, 1981",Topographical plan of giudecca,,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/5c88b03c59004c6788d97b1d95dd27de/data
35,Silos Society Venice,Società Silos Venezia,"Multi-storey building on the Giudecca canal used as a warehouse for the grandees from 1846 to 1930, later transformed and used as a finance barracks.",1846.0,1930.0,"Stampa: Tipografia Commerciale/Venezia, 1981","Stampa: Tipografia Commerciale/Venezia, 1981",,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/44549d20f0fc4541b5b4dbea668baf26/data
36,Ex Furnace,,Shed on the Giudecca canal used as a furnace in 1846 and subsequently as a coal warehouse.,1846.0,1981.0,"Stampa: Tipografia Commerciale/Venezia, 1981","Stampa: Tipografia Commerciale/Venezia, 1981",,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/9b7e370f2ed04dc896525874534aea26/data
37,Tanner,Ditta V. Tanner,"Two story ice factory built in 1906 and enlarged and renovated in 1924. After a readaptation to house a pasta factory, the property is currently abandoned.",1906.0,1934.0,"Lando, 2023, p. 20","Lando, 2023, p. 21",,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/b9bc2a67d19c41ae9aceeef64f3943ee/data
38,Par Cazzagon,Ditta Da Par Cazzagon,"Set of low buildings, built in the early 1900s. Later used as a foundry by the Toffolo company.",1900.0,1981.0,"Stampa: Tipografia Commerciale/Venezia, 1981","Stampa: Tipografia Commerciale/Venezia, 1981",,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/21eeb22ca0c647be988f94749c4e2ba9/data
39,Tramontin Company,Ditta Tramontin,"Shipyard, build gondolas since 1884, still in business founded on February 2, 1884 by Domenico Tramontin. After learning the art of building gondolas at the Casal ai Servi boatyard, he went on to make important changes to its form, number 16 on the map COMPANY BUILT A SECOND SHIPYARDA",1884.0,9999.0,https://www.tramontingondole.it/?lang=en,https://www.tramontingondole.it/?lang=en,Still in business,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/3b6e7a97d0384aa2b743f5f314849b8e/data
40,Magnanini Shipyard,Cantiere Magnanini,"Shipyard that opened in the early 1900s (late 1930s), and was in business as of 1981. Magnanini had 12 emploees in 1981. Closed late 1990s",1981.0,1990.0,https://www.mareonline.it/cantiere-motonautico-sc-lofficina-mobile-con-al-volante-due-assi-delloffshore/,https://www.mareonline.it/cantiere-motonautico-sc-lofficina-mobile-con-al-volante-due-assi-delloffshore/,Liquidation,"Pietro Lando. Interview, 2024.",https://serendpt.maps.arcgis.com/sharing/rest/content/items/a4620122568741e395e9d150274eb76a/data
41,Mocenigo,Palazzo Mocenigo,"Oil storage, A Gothic palace used as warehouses in 1846. The garden behind it was occupied by two tanks, but the building has been restored and houses some homes",1905.0,,,,,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/fc81ffe55d094fcbb306de20400a7d21/data
42,Ex Sali,,"Grain warehouses, Three sheds perpendicular to the Giudecca canal, used since 1846 as grain warehouses; abandoned as of 1981.",1846.0,1981.0,"Stampa: Tipografia Commerciale/Venezia, 1981",,,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/b3dfb427b27a4371a892b9f2813e69a7/data
43,Venetian Navigation Company in Vapore Lagoon,Società Veneta di Navigazione a Vaporé Lagunare,"Established in 1892 on a state-owned area already used as a squero and expanded and renovated in 1922. The construction site, consisting of a large warehouse, a slipway and some warehouses, was active as of 1981.",1892.0,,"Stampa: Tipografia Commerciale/Venezia, 1981",,,,https://serendpt.maps.arcgis.com/sharing/rest/content/items/b6170eaf515b48408fd1db7778583f3a/data
45,Cadorin Marco and Lodovico,Cadorin Marco and Lodovico,Artifical Fertilizer company.,1880.0,1885.0,"Lando, 2023, p. 8","Lando, 2023, p. 8",Forced to move from the island to the mainland due to the smell (Bottenighi).,"Pietro Lando (Interview, 2024)",
46,Rothschild's Factory,Imperial Regio Stabilimento Adriatico dei Cementi Idraulici ed Asfalti,Bitumen and asphalt factory founded by Salomon Mayer von Rothschild and located a few tens of  meters from the Redentore church in San Giacomo.,1852.0,1866.0,,,,,
48,Calcagno Gustavino (Pagan),Calcagno Gustavino (Pagan),"Mechanical Plant, production of small tonnage boats and dredgers.",1925.0,1950.0,"Lando, 2023, p. 11","Lando, 2023, p. 11",Elimited to make room for housing.,"Lando, 2023, p. 11",
50,Dalla Pieta,Dalla Pieta,Construction and maintenance of hulls and engines.,1959.0,1990.0,,,Relocation to Porto Marghera.,"Pietro Lando. Interview, 2024.",
51,SA Commercial Italian Rice Mill,SA Commerciale Risiera Italiana,"Previous called 'The Moschini and Ivancich company' Prepared and marketed rice, sourced raw materials from Polesine, Romagna and Piedmont, and primarily exported to the Far East (and Argentina after WWI). During the conflict of 1915-18 it was requisitioned for the supply of the army. Lando, 2023, p. 14 'Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca' (94)",1896.0,1928.0,"Lando, 2023, p. 14, Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca (94)","Lando, 2023, p. 14 Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca (96)",The entire factory with its machines was transported to Porto Marghera.,"Lando, 2023, p. 14, Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca (94)",
52,Urban Waste Management Station,Stazione di Gestione dei Rifiuti Urbani,Turned urban waste into fertilizer.,1970.0,1984.0,"Lando, 2023, p. 11","Lando, 2023, p. 11",,,
53,Venetian Cotton Mill,Cotonificio Veneziano,"right in front of the enormous mill and next to the  Maritime Station, stood the large building of the Venetian Cotton Mill erected in 1883",1883.0,,"Lando, 2023, p. 12",,,,
54,Tagliapietra S.r.l. Shipyard,Cantiere Nautico Tagliapietra S.r.l.,"Repair and shipyard, still open today, 68 on the map",,9999.0,,,,,
55,Dei Rossi Roberto,Dei Rossi Roberto,"Shipyard, inaugurated in the 80s on the island of Giudecca at the Minor Venetian Shipbuilding Consortium, when Stefano Costantini and Roberto Dei Rossi began working there under the guidance of Corrado Costantini known as “Buranello”.",1980.0,9999.0,https://www.veniceoriginal.it/it/artigiani/120-roberto-dei-rossi,https://www.veniceoriginal.it/it/artigiani/120-roberto-dei-rossi,,,
56,Crea Shipyard,Crea Cantiere Nautico,"Shipyard and boat repair, still open today",1990.0,9999.0,https://www.cantierenauticocrea.com/ita/index.htm,https://www.cantierenauticocrea.com/ita/index.htm,,,
57,Marvi Shipyard,Cantiere Navale Marvi,"Shipyard, specialized in the construction of fast and elegant wooden boats for private individuals or  public institutions, as well as for the Royal Navy and for other fleets (230) (a part of the V.Cereseto company, Large shipyard (Current location - the Hotel Cipriani, 4 on map",1921.0,1950.0,"https://stedrs.blogspot.com/2020/02/giudecca-fra-1800-e-1900-e-altro-ancora.html, https://stedrs.blogspot.com/2020/02/giudecca-fra-1800-e-1900-e-altro-ancora.htmlhttps://stedrs.blogspot.com/2020/02/giudecca-fra-1800-e-1900-e-altro-ancora.html",LA GIUDECCA - SICINIO BONFANTI,,,
150,The Consortium,Consorzio Venezia Sviluppo,"former Lucchese area, The Venezia Sviluppo consortium was born from the union of five companies, with complementary activities between them, which managed to renovate a degraded area of ​​half a hectare of surface and 10,000 m3 of buildings owned by the municipality of Venice on the Giudecca to relaunch the shipbuilding industry of quality and above all promote the valorisation of the economy of the lagoon area,  The Consorzio Venezia Sviluppo was born in the spacious area, which revives the times of the industrial Giudecca of the last century, together with Chia there are other companies: Pitteri Impimenti, Ammiana engineering studio, Maschio carpentry, Alilaguna. The Consortium is a beautiful synergy between Venetian entrepreneurs to make this area grow. The Chia Shipyard is also a fine example of how the knowledge of the shipwrights passes from generation to generation, today from the Chia family, already in the third generation with their nephew Kevin, to some young Venetians. In addition to the construction of wooden and fiberglass boats, we also specialize in:",2010.0,9999.0,http://www.nauticachia.com/chi.html,http://www.nauticachia.com/chi.html,,,
151,Ammiana SRL  Engineering,Ammiana SRL,"Apart of Ammiana SRL, which is a company that deals with Architectural and Urban Planning, event planning and temporary installations, Restoration of the building heritage, Landscape Archaeology, Preliminary verifications of archaeological interest, since 2002 Analysis of territorial transformations, of Structural and Plant Engineering, of Company and construction site safety. Ammiana SRL Engineering founded in 2010 with the main purpose of dealing with the transformation of the disused productive area (former) Lucchese shipyard, on the southern edge of the Giudecca island in Venice.",2010.0,9999.0,http://www.ammiana.com/,http://www.ammiana.com/,,,
153,Chia motorboat shipyard,Cantiere Motonautico Chia,"Apart of the Consorzio Venezia Sviluppo, 1956 when Giancarlo Chia, after an experience in the legendary Celli shipyard, set up his own business by opening a shipyard in San Pietro di Castello, specialize in the construction and repair of professional and representative boats made of wood and VTR. tender for large yachts. For years our clientele has mainly been made up of taxi drivers and institution",1956.0,9999.0,http://www.nauticachia.com/chi.html,http://www.nauticachia.com/chi.html,,,
154,Maschio Carpentry and Shipyard,Falegnameria e Cantiere Nautico Maschio,"Carpentry shop founded in 1984. Mario Bullo and Alessandro Vianello decided to combine their artisanal skills to take over this historic carpentry shop: Falegnameria Maschio. Since then they have always been available for artisanal work involving wooden works, create a variety of wooden objects kitchens, stairs, tables, chairs, wardrobes, doors and windows, tope, sandoli, bonnets",1984.0,9999.0,https://www.falegnameriamaschio.it/,https://www.falegnameriamaschio.it/,,,
155,Pitteri Impianti,Pitteri Impianti,"The Pitteri Impianti company is located in Venice and represents a leading company in the installation, assistance and maintenance of various types of systems, both civil and industrial.",2010.0,9999.0,https://www.pitterimpianti.it/,,,,
161,Cadorin,Ditta Cadorin,Fertilizer Factory during the late 19th century. Replaced by the Toffolo Naval Shipyard in 1909,1890.0,1909.0,,,,,
181,Gaggio,Ditta Gaggio,"Carpet from coconut fibers, created from the Bussolin, named after the first founder's son-in-law. The building burned down in 1961 and the area was repurposed for residential use.",1922.0,1961.0,"Lando, 2023, p. 31","Lando, 2023, p. 31",Fire.,"Lando, 2023, p. 31",https://serendpt.maps.arcgis.com/sharing/rest/content/items/cb4e139a2054469680c1e7dc63fe8b34/data
262,Acnil,Acnil,A building on the river used since 1890 as a workshop for the repair and construction of boats that served as Acnil shipyard from 1905 to 1942.,1905.0,1942.0,"Stampa: Tipografia Commerciale/Venezia, 1981","Lando, 2023, p. 35",,,
281,,,Bead factory,1860.0,1936.0,"Stampa: Tipografia Commerciale/Venezia, 1981",,,,
291,Bussolin Tappeti,Bussolin Tappeti,Warehouse,1878.0,,Topographical plan of giudecca,,,,
292,Citran,Citran,Coal Warehouse,1930.0,1948.0,Topographical plan of giudecca,,,,
331,Morosini,Morosini,Grain warehouse,1642.0,1846.0,Topographical plan of giudecca,,,,
371,Michele Zaggia's San Marco Pasta Factory,Pastificio San Marco di Michele Zaggia,"Pasta factory built in place of the Tanner ice factory after 1942. Fire destroyed all the machinery inside and damaged the building, leaving 35 people without work.",1942.0,,"Lando, 2023, p. 43",,,,
401,Casale Monferrato lime and cement factory,SA Fabbrica di Calce e Cementi di Casale Monferrato,"Lime and cement factory that produced 500 thousand quintals of  Portland cement per year. (citation 87) To prepare the cement mixture produced, clay from the lagoon bed and limestone from Istrian rocks were used (Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca)",1904.0,1914.0,Lando (verbal),"Lando, 2023, p. 13 Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca",Closed at the onset of WWI.,"Lando, 2023, p. 13  Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca  citation number 89",
501,Pila Pilla,Pila Pilla,"Pila Pilla was a part of a larger factory that was used for the distillation of minerals and asphat purification (citation 83). Pila Pilla was an ad hoc company which produced eletric batteries (of his own invention) which he wanted to allocate to Italian soldiers to safely illuminate their trenches (citation 84). Pila Pilla moved to Florence where it remained even after WWI. After moving to Florence, the factory had changed the name to Superpilla and, finally, Superpila (citation 85).",1917.0,1918.0,"Lando, 2023, p. 13 Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca  citation number 84","Lando, 2023, p. 13, Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca,  citation number 86",Relocated: Moved to Florence during the onset of WWI,"Lando, 2023, p. 13, Da San Biagio a calle dell’Accademia dei nobili: l’Europa industriale alla Giudecca, citation number 85",
600,Venezia Beer,Birra Venezia,"Same company as Società Distilleria Veneziana, closed to install safety works and reopened under the name Societa Birra San Marco (Story of Passion). In 1913, the company changed its name to Fabbrica di Birra Venezia SA, or Birra Venezia. Birra Venezia became a successful brand not only in Italy, so much so that an advertising  notice, published in the Gazzetta di Venezia of 9 July 1928, even defined it as Supplier of the English  Army in Egypt and in second place among the exporting factories Italian (p. 13)",1908.0,1929.0,"A Story of Passion, https://www.birravenezia.it/storia","A Story of Passion, https://www.birravenezia.it/storia","Adhering to the concentration policy that began to spread across multiple sectors, Birra Venezia and about ten other brands were absorbed by Birra Pedavena.","A Story of Passion, https://www.birravenezia.it/storia",
601,Dreher,Ditta Dreher,Brewery purchased from Veneziana Beer (Birra Venezia) in the 1930s.,1930.0,1967.0,"Pietro Lando. Interview, 2024.","Lando, 2023, p. 46 Gli anni della resa (387)",Fell victim to the dark times - industrial decline on the Giudecca,"Lando, 2023, p. 46, Gli anni della resa (387)",https://serendpt.maps.arcgis.com/sharing/rest/content/items/17af06d938e7461799f710dcf2607336/data
